Unnamed: 0,x,y,"(lat,lon)",xy,lat,lon
34,23,2,"(22.24370366972477, 114.15919449541285)","(23, 2)",22.24370366972477,114.15919449541285
35,23,4,"(22.271226605504587, 114.15919449541285)","(23, 4)",22.271226605504587,114.15919449541285
36,23,5,"(22.284988073394494, 114.15919449541285)","(23, 5)",22.284988073394494,114.15919449541285
37,23,6,"(22.2987495412844, 114.15919449541285)","(23, 6)",22.2987495412844,114.15919449541285
38,23,7,"(22.31251100917431, 114.15919449541285)","(23, 7)",22.31251100917431,114.15919449541285
39,23,8,"(22.32627247706422, 114.15919449541285)","(23, 8)",22.32627247706422,114.15919449541285
40,23,9,"(22.340033944954126, 114.15919449541285)","(23, 9)",22.340033944954126,114.15919449541285
41,23,17,"(22.450125688073392, 114.15919449541285)","(23, 17)",22.450125688073392,114.15919449541285
42,24,4,"(22.271226605504587, 114.17295596330275)","(24, 4)",22.271226605504587,114.17295596330275
43,24,6,"(22.2987495412844, 114.17295596330275)","(24, 6)",22.2987495412844,114.17295596330275
44,24,7,"(22.31251100917431, 114.17295596330275)","(24, 7)",22.31251100917431,114.17295596330275
45,24,8,"(22.32627247706422, 114.17295596330275)","(24, 8)",22.32627247706422,114.17295596330275
46,24,9,"(22.340033944954126, 114.17295596330275)","(24, 9)",22.340033944954126,114.17295596330275
47,24,11,"(22.367556880733943, 114.17295596330275)","(24, 11)",22.367556880733943,114.17295596330275
48,24,12,"(22.381318348623854, 114.17295596330275)","(24, 12)",22.381318348623854,114.17295596330275
49,24,17,"(22.450125688073392, 114.17295596330275)","(24, 17)",22.450125688073392,114.17295596330275
50,25,3,"(22.257465137614677, 114.18671743119266)","(25, 3)",22.257465137614677,114.18671743119266
51,25,4,"(22.271226605504587, 114.18671743119266)","(25, 4)",22.271226605504587,114.18671743119266
52,25,5,"(22.284988073394494, 114.18671743119266)","(25, 5)",22.284988073394494,114.18671743119266
53,25,6,"(22.2987495412844, 114.18671743119266)","(25, 6)",22.2987495412844,114.18671743119266
54,25,7,"(22.31251100917431, 114.18671743119266)","(25, 7)",22.31251100917431,114.18671743119266
55,25,8,"(22.32627247706422, 114.18671743119266)","(25, 8)",22.32627247706422,114.18671743119266
56,25,9,"(22.340033944954126, 114.18671743119266)","(25, 9)",22.340033944954126,114.18671743119266
57,25,12,"(22.381318348623854, 114.18671743119266)","(25, 12)",22.381318348623854,114.18671743119266
58,26,5,"(22.284988073394494, 114.20047889908257)","(26, 5)",22.284988073394494,114.20047889908257
59,26,6,"(22.2987495412844, 114.20047889908257)","(26, 6)",22.2987495412844,114.20047889908257
60,26,8,"(22.32627247706422, 114.20047889908257)","(26, 8)",22.32627247706422,114.20047889908257
61,26,9,"(22.340033944954126, 114.20047889908257)","(26, 9)",22.340033944954126,114.20047889908257
62,26,10,"(22.353795412844036, 114.20047889908257)","(26, 10)",22.353795412844036,114.20047889908257
63,26,12,"(22.381318348623854, 114.20047889908257)","(26, 12)",22.381318348623854,114.20047889908257
64,26,13,"(22.39507981651376, 114.20047889908257)","(26, 13)",22.39507981651376,114.20047889908257
65,27,5,"(22.284988073394494, 114.21424036697249)","(27, 5)",22.284988073394494,114.21424036697249
66,27,7,"(22.31251100917431, 114.21424036697249)","(27, 7)",22.31251100917431,114.21424036697249
67,27,8,"(22.32627247706422, 114.21424036697249)","(27, 8)",22.32627247706422,114.21424036697249
68,28,4,"(22.271226605504587, 114.2280018348624)","(28, 4)",22.271226605504587,114.2280018348624
69,28,5,"(22.284988073394494, 114.2280018348624)","(28, 5)",22.284988073394494,114.2280018348624
70,28,7,"(22.31251100917431, 114.2280018348624)","(28, 7)",22.31251100917431,114.2280018348624
71,28,14,"(22.408841284403668, 114.2280018348624)","(28, 14)",22.408841284403668,114.2280018348624
72,28,15,"(22.422602752293578, 114.2280018348624)","(28, 15)",22.422602752293578,114.2280018348624
73,29,3,"(22.257465137614677, 114.2417633027523)","(29, 3)",22.257465137614677,114.2417633027523
74,29,4,"(22.271226605504587, 114.2417633027523)","(29, 4)",22.271226605504587,114.2417633027523
75,29,6,"(22.2987495412844, 114.2417633027523)","(29, 6)",22.2987495412844,114.2417633027523
76,29,7,"(22.31251100917431, 114.2417633027523)","(29, 7)",22.31251100917431,114.2417633027523
77,30,7,"(22.31251100917431, 114.25552477064221)","(30, 7)",22.31251100917431,114.25552477064221
78,30,8,"(22.32627247706422, 114.25552477064221)","(30, 8)",22.32627247706422,114.25552477064221
79,31,6,"(22.2987495412844, 114.26928623853212)","(31, 6)",22.2987495412844,114.26928623853212
80,31,7,"(22.31251100917431, 114.26928623853212)","(31, 7)",22.31251100917431,114.26928623853212
