Train Episode 45 , Platform Reward 4.786687157330835 , Worker Reward 51.73905423784256 , Order Pickup 1952 , Worker Reject Num 624 , Average Detour 19.84579918032787 , Average Travel Time 22.60632981676846 , Total Timeout Order 158 , Total Valid Distance 5595598.0 , Critic Loss 226.13873291015625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.995 , Strike Rate 0.0
Train Episode 46 , Platform Reward 4.801790093412465 , Worker Reward 51.757887701570986 , Order Pickup 1954 , Worker Reject Num 594 , Average Detour 19.86335721596725 , Average Travel Time 22.31995540691193 , Total Timeout Order 133 , Total Valid Distance 5557222.300000001 , Critic Loss 270.6401672363281 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.736 , Strike Rate 0.0
Train Episode 47 , Platform Reward 4.717919264883945 , Worker Reward 51.95224370640516 , Order Pickup 1949 , Worker Reject Num 585 , Average Detour 20.093894304771677 , Average Travel Time 23.10710321864595 , Total Timeout Order 167 , Total Valid Distance 5532847.3 , Critic Loss 218.64907836914062 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.865 , Strike Rate 0.0
Train Episode 48 , Platform Reward 5.091887952997363 , Worker Reward 46.869046052575115 , Order Pickup 1943 , Worker Reject Num 571 , Average Detour 18.152856407617087 , Average Travel Time 21.29484425349087 , Total Timeout Order 118 , Total Valid Distance 5517736.4 , Critic Loss 231.3280227661133 , Actor Loss -2.689976345942834 , Worker Loss 0 , Mask Rate 0.126 , Strike Rate 0.173
Train Episode 49 , Platform Reward 4.78284195952535 , Worker Reward 51.7059605820179 , Order Pickup 1950 , Worker Reject Num 619 , Average Detour 20.04820512820513 , Average Travel Time 22.507891770011273 , Total Timeout Order 144 , Total Valid Distance 5914905.8 , Critic Loss 181.49351501464844 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.154 , Strike Rate 0.0
Train Episode 50 , Platform Reward 5.11210610985472 , Worker Reward 51.682089795827864 , Order Pickup 1953 , Worker Reject Num 588 , Average Detour 20.086021505376344 , Average Travel Time 22.57007786429366 , Total Timeout Order 149 , Total Valid Distance 5633729.0 , Critic Loss 229.82704162597656 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.186 , Strike Rate 0.057
Train Episode 51 , Platform Reward 4.862731627598952 , Worker Reward 51.44735450309515 , Order Pickup 1945 , Worker Reject Num 645 , Average Detour 20.105398457583547 , Average Travel Time 22.836926478717523 , Total Timeout Order 146 , Total Valid Distance 5601865.1 , Critic Loss 176.65524291992188 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.063 , Strike Rate 0.228
Train Episode 52 , Platform Reward 5.22873688186523 , Worker Reward 47.18906272089481 , Order Pickup 1945 , Worker Reject Num 458 , Average Detour 18.032390745501285 , Average Travel Time 21.19935344827586 , Total Timeout Order 135 , Total Valid Distance 6084338.0 , Critic Loss 212.4893051147461 , Actor Loss -1.489441685263846 , Worker Loss 0 , Mask Rate 0.109 , Strike Rate 0.0
Train Episode 53 , Platform Reward 4.983406592297826 , Worker Reward 52.650416977584364 , Order Pickup 1956 , Worker Reject Num 501 , Average Detour 20.166155419222903 , Average Travel Time 22.577591036414567 , Total Timeout Order 154 , Total Valid Distance 5966183.699999999 , Critic Loss 281.4364318847656 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.305 , Strike Rate 0.275
Train Episode 54 , Platform Reward 4.932006291739841 , Worker Reward 52.46685141968727 , Order Pickup 1952 , Worker Reject Num 592 , Average Detour 20.114754098360656 , Average Travel Time 22.9484593837535 , Total Timeout Order 150 , Total Valid Distance 5899295.300000001 , Critic Loss 174.74435424804688 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.158 , Strike Rate 0.158
Train Episode 55 , Platform Reward 4.965898838981249 , Worker Reward 52.82973773807287 , Order Pickup 1947 , Worker Reject Num 515 , Average Detour 20.520287621982536 , Average Travel Time 23.523569023569024 , Total Timeout Order 189 , Total Valid Distance 5863144.699999999 , Critic Loss 184.6427001953125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.339
Train Episode 56 , Platform Reward 5.525733295814178 , Worker Reward 49.23188666433096 , Order Pickup 1952 , Worker Reject Num 487 , Average Detour 18.76844262295082 , Average Travel Time 22.07725321888412 , Total Timeout Order 133 , Total Valid Distance 5751226.6 , Critic Loss 115.67526321411133 , Actor Loss -1.8285834569368293 , Worker Loss 0 , Mask Rate 0.637 , Strike Rate 0.0
Train Episode 57 , Platform Reward 4.79059642208058 , Worker Reward 52.18292459285259 , Order Pickup 1955 , Worker Reject Num 602 , Average Detour 20.13401534526854 , Average Travel Time 22.591620111731842 , Total Timeout Order 148 , Total Valid Distance 5746581.5 , Critic Loss 104.50537109375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.702 , Strike Rate 0.0
Train Episode 58 , Platform Reward 4.77622104374828 , Worker Reward 51.16376155120135 , Order Pickup 1954 , Worker Reject Num 578 , Average Detour 19.66069600818833 , Average Travel Time 22.43562708102109 , Total Timeout Order 157 , Total Valid Distance 5652306.799999999 , Critic Loss 148.52377319335938 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.407 , Strike Rate 0.0
Train Episode 59 , Platform Reward 5.053436353882462 , Worker Reward 52.407937704741954 , Order Pickup 1954 , Worker Reject Num 521 , Average Detour 20.32906857727738 , Average Travel Time 22.92865105908584 , Total Timeout Order 151 , Total Valid Distance 5468941.4 , Critic Loss 126.253173828125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.638 , Strike Rate 0.0
Train Episode 60 , Platform Reward 5.0011472791858536 , Worker Reward 49.99195192360878 , Order Pickup 1954 , Worker Reject Num 431 , Average Detour 19.191402251791196 , Average Travel Time 21.451381215469613 , Total Timeout Order 123 , Total Valid Distance 5756914.899999999 , Critic Loss 174.9568298339844 , Actor Loss -3.0225064337863046 , Worker Loss 0 , Mask Rate 0.299 , Strike Rate 0.0
Train Episode 61 , Platform Reward 5.302884286677066 , Worker Reward 52.122276094317435 , Order Pickup 1954 , Worker Reject Num 462 , Average Detour 20.15353121801433 , Average Travel Time 22.830156950672645 , Total Timeout Order 158 , Total Valid Distance 5916898.8 , Critic Loss 203.50579833984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.148
Train Episode 62 , Platform Reward 4.818867164218466 , Worker Reward 51.592880239963534 , Order Pickup 1958 , Worker Reject Num 407 , Average Detour 19.994892747701737 , Average Travel Time 22.5677025527192 , Total Timeout Order 139 , Total Valid Distance 5638656.7 , Critic Loss 169.2061309814453 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.137 , Strike Rate 0.305
Train Episode 63 , Platform Reward 5.249642589181181 , Worker Reward 52.94149584347009 , Order Pickup 1949 , Worker Reject Num 493 , Average Detour 20.575166752180607 , Average Travel Time 22.818029115341545 , Total Timeout Order 158 , Total Valid Distance 5974521.0 , Critic Loss 158.633056640625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.044
Train Episode 64 , Platform Reward 5.401535435516322 , Worker Reward 44.83829480338097 , Order Pickup 1958 , Worker Reject Num 346 , Average Detour 16.892236976506638 , Average Travel Time 20.06517094017094 , Total Timeout Order 131 , Total Valid Distance 5627146.100000001 , Critic Loss 105.51648330688477 , Actor Loss -2.609613765729235 , Worker Loss 0 , Mask Rate 0.103 , Strike Rate 0.0
Train Episode 65 , Platform Reward 4.589132233670076 , Worker Reward 52.32679001879692 , Order Pickup 1947 , Worker Reject Num 622 , Average Detour 20.50950179763739 , Average Travel Time 23.08282036933408 , Total Timeout Order 156 , Total Valid Distance 5591892.0 , Critic Loss 138.15496826171875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.973 , Strike Rate 0.0
