Train Episode 34 , Platform Reward 8.746271796471836 , Worker Reward 80.55372699975968 , Order Pickup 3144 , Worker Reject Num 1647 , Average Detour 20.014949109414758 , Average Travel Time 22.472846765824976 , Total Timeout Order 242 , Total Valid Distance 8787929.1 , Critic Loss 204.66757202148438 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.104
Train Episode 35 , Platform Reward 9.075532316052215 , Worker Reward 61.84983370101452 , Order Pickup 2448 , Worker Reject Num 1325 , Average Detour 19.718954248366014 , Average Travel Time 22.560469314079423 , Total Timeout Order 195 , Total Valid Distance 6906291.899999999 , Critic Loss 248.9574737548828 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.943
Train Episode 36 , Platform Reward 10.890098509058044 , Worker Reward 85.91392828333377 , Order Pickup 3562 , Worker Reject Num 1984 , Average Detour 18.33941605839416 , Average Travel Time 20.70923317683881 , Total Timeout Order 213 , Total Valid Distance 11198278.899999999 , Critic Loss 204.16344299316407 , Actor Loss -3.512312120715901 , Worker Loss 0 , Mask Rate 0.412 , Strike Rate 0.044
Train Episode 37 , Platform Reward 3.978929471746552 , Worker Reward 43.86605086606741 , Order Pickup 1711 , Worker Reject Num 801 , Average Detour 19.771478667445937 , Average Travel Time 22.407994923857867 , Total Timeout Order 143 , Total Valid Distance 4880208.199999999 , Critic Loss 205.43624877929688 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.236 , Strike Rate 0.287
Train Episode 38 , Platform Reward 10.375079687898868 , Worker Reward 80.98047684848308 , Order Pickup 3136 , Worker Reject Num 1396 , Average Detour 19.948341836734695 , Average Travel Time 22.602405498281787 , Total Timeout Order 257 , Total Valid Distance 8905127.200000001 , Critic Loss 316.73065185546875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.394
Train Episode 39 , Platform Reward 6.4513380806744625 , Worker Reward 47.47707441794872 , Order Pickup 1847 , Worker Reject Num 875 , Average Detour 19.79480238224147 , Average Travel Time 22.513418903150527 , Total Timeout Order 140 , Total Valid Distance 5158099.600000001 , Critic Loss 211.28421020507812 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.681
Train Episode 40 , Platform Reward 8.832477925405255 , Worker Reward 61.26082253444195 , Order Pickup 2376 , Worker Reject Num 1091 , Average Detour 18.772727272727273 , Average Travel Time 21.609966459032105 , Total Timeout Order 172 , Total Valid Distance 9478723.9 , Critic Loss 338.71556701660154 , Actor Loss -7.027328048877027 , Worker Loss 0 , Mask Rate 0.262 , Strike Rate 0.513
Train Episode 41 , Platform Reward 8.888721115541268 , Worker Reward 86.15679924821853 , Order Pickup 3319 , Worker Reject Num 1590 , Average Detour 20.126544139801144 , Average Travel Time 22.632063074901446 , Total Timeout Order 257 , Total Valid Distance 9540645.5 , Critic Loss 205.53868103027344 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.077 , Strike Rate 0.0
Train Episode 42 , Platform Reward 10.543639164644874 , Worker Reward 91.04101927191019 , Order Pickup 3485 , Worker Reject Num 1263 , Average Detour 19.86312769010043 , Average Travel Time 22.260745891276866 , Total Timeout Order 262 , Total Valid Distance 10302126.100000001 , Critic Loss 183.3740997314453 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.998 , Strike Rate 0.0
Train Episode 43 , Platform Reward 5.767534410841813 , Worker Reward 60.77660884088278 , Order Pickup 2334 , Worker Reject Num 1100 , Average Detour 20.13667523564696 , Average Travel Time 22.50347705146036 , Total Timeout Order 181 , Total Valid Distance 6623341.2 , Critic Loss 201.13308715820312 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.392 , Strike Rate 0.0
Train Episode 44 , Platform Reward 13.154579402730402 , Worker Reward 90.35799708133936 , Order Pickup 3514 , Worker Reject Num 1577 , Average Detour 18.87051792828685 , Average Travel Time 21.362455342643717 , Total Timeout Order 231 , Total Valid Distance 14070580.8 , Critic Loss 304.9103485107422 , Actor Loss -6.038040045498701 , Worker Loss 0 , Mask Rate 0.067 , Strike Rate 0.147
Train Episode 45 , Platform Reward 11.453625907556553 , Worker Reward 91.07851878499984 , Order Pickup 3525 , Worker Reject Num 1446 , Average Detour 19.845106382978724 , Average Travel Time 22.27230626736647 , Total Timeout Order 234 , Total Valid Distance 10040644.2 , Critic Loss 166.6708221435547 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.763 , Strike Rate 0.0
Train Episode 46 , Platform Reward 12.292539781591135 , Worker Reward 89.19351495301723 , Order Pickup 3494 , Worker Reject Num 1646 , Average Detour 19.73526044647968 , Average Travel Time 22.224750623441395 , Total Timeout Order 262 , Total Valid Distance 10296655.7 , Critic Loss 290.6554870605469 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.16 , Strike Rate 0.108
Train Episode 47 , Platform Reward 3.485121185096421 , Worker Reward 38.1395289298892 , Order Pickup 1474 , Worker Reject Num 791 , Average Detour 20.227272727272727 , Average Travel Time 22.834204630321135 , Total Timeout Order 105 , Total Valid Distance 4340382.0 , Critic Loss 322.0308837890625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.013
Train Episode 48 , Platform Reward 12.397708080654116 , Worker Reward 92.3550371440053 , Order Pickup 3592 , Worker Reject Num 1621 , Average Detour 19.269209354120267 , Average Travel Time 21.419405320813773 , Total Timeout Order 230 , Total Valid Distance 12837982.5 , Critic Loss 249.81857452392578 , Actor Loss -4.350753296968752 , Worker Loss 0 , Mask Rate 0.281 , Strike Rate 0.0
Train Episode 49 , Platform Reward 8.146319162970608 , Worker Reward 75.07820783287286 , Order Pickup 2916 , Worker Reject Num 1247 , Average Detour 20.002743484224965 , Average Travel Time 22.32859281437126 , Total Timeout Order 210 , Total Valid Distance 8497230.7 , Critic Loss 232.42030334472656 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.309 , Strike Rate 0.19
Train Episode 50 , Platform Reward 6.4502614087051 , Worker Reward 65.8588066907525 , Order Pickup 2563 , Worker Reject Num 1278 , Average Detour 19.868123293015998 , Average Travel Time 22.42676767676768 , Total Timeout Order 169 , Total Valid Distance 7493584.7 , Critic Loss 284.974853515625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.341 , Strike Rate 0.0
Train Episode 51 , Platform Reward 10.833959812258032 , Worker Reward 69.36386656826734 , Order Pickup 2678 , Worker Reject Num 1105 , Average Detour 20.164301717699775 , Average Travel Time 22.763073209975865 , Total Timeout Order 234 , Total Valid Distance 7679194.8 , Critic Loss 179.45745849609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.547
Train Episode 52 , Platform Reward 14.565446921504035 , Worker Reward 94.48277089345456 , Order Pickup 3615 , Worker Reject Num 1629 , Average Detour 19.21549100968188 , Average Travel Time 21.607165109034266 , Total Timeout Order 261 , Total Valid Distance 14279493.700000001 , Critic Loss 316.0052917480469 , Actor Loss -4.662872853543606 , Worker Loss 0 , Mask Rate 0.317 , Strike Rate 0.031
Train Episode 53 , Platform Reward 12.013392503138778 , Worker Reward 90.39940306311846 , Order Pickup 3502 , Worker Reject Num 1497 , Average Detour 20.04368932038835 , Average Travel Time 22.457506203473944 , Total Timeout Order 259 , Total Valid Distance 9905177.7 , Critic Loss 184.8956298828125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.481 , Strike Rate 0.043
Train Episode 54 , Platform Reward 2.473380244470488 , Worker Reward 28.042807517647745 , Order Pickup 1087 , Worker Reject Num 535 , Average Detour 20.08463661453542 , Average Travel Time 23.086693548387096 , Total Timeout Order 90 , Total Valid Distance 3022389.6000000006 , Critic Loss 216.14755249023438 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.705
Train Episode 55 , Platform Reward 11.619570306547393 , Worker Reward 80.20153452956677 , Order Pickup 3116 , Worker Reject Num 1367 , Average Detour 19.990693196405648 , Average Travel Time 22.541981981981984 , Total Timeout Order 240 , Total Valid Distance 8936137.3 , Critic Loss 154.16036987304688 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.34
Train Episode 56 , Platform Reward 2.9047991108479456 , Worker Reward 28.775789499282837 , Order Pickup 1249 , Worker Reject Num 165 , Average Detour 18.00720576461169 , Average Travel Time 21.3628023352794 , Total Timeout Order 77 , Total Valid Distance 3575257.9 , Critic Loss 113.28135833740234 , Actor Loss -1.9068442015081288 , Worker Loss 0 , Mask Rate 0.115 , Strike Rate 0.206
Train Episode 57 , Platform Reward 8.789181715321114 , Worker Reward 67.7111661439538 , Order Pickup 2629 , Worker Reject Num 1064 , Average Detour 19.809052871814377 , Average Travel Time 22.512608515915666 , Total Timeout Order 197 , Total Valid Distance 7670175.6 , Critic Loss 135.60614013671875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.16 , Strike Rate 0.427
